City_ID,City,Country,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
0,Ndele,CF,overcast clouds,69.21,96,100,1.54,8.4109,20.6473
1,Hithadhoo,MV,broken clouds,83.61,72,60,14.58,-0.6,73.0833
2,Port Alfred,ZA,clear sky,55.18,67,0,5.01,-33.5906,26.891
3,Yingcheng,CN,broken clouds,94.64,60,77,14.94,30.95,113.55
4,Rikitea,PF,scattered clouds,75.04,74,42,10.92,-23.1203,-134.9692
5,Taltal,CL,few clouds,54.9,87,15,4.52,-25.4,-70.4833
6,Chingola,ZM,few clouds,50.52,81,22,4.45,-12.529,27.8838
7,Barrow,US,overcast clouds,39.22,81,100,9.22,71.2906,-156.7887
8,Demyansk,RU,clear sky,62.58,68,3,6.67,57.643,32.466
9,Harper,LR,overcast clouds,74.98,83,99,8.34,4.375,-7.7169
10,Kuusamo,FI,broken clouds,62.64,94,75,4.61,65.9667,29.1833
11,Ushuaia,AR,broken clouds,37.06,81,75,11.5,-54.8,-68.3
12,Busselton,AU,clear sky,61.54,55,4,8.5,-33.65,115.3333
13,Tiksi,RU,overcast clouds,37.45,89,100,7.02,71.6872,128.8694
14,Albany,US,scattered clouds,69.57,78,47,5.14,42.6001,-73.9662
15,Kodiak,US,mist,54.91,88,100,10.36,57.79,-152.4072
16,Henties Bay,NA,clear sky,55.4,87,0,8.25,-22.116,14.2845
17,Bengkulu,ID,overcast clouds,82.18,69,100,3.18,-3.8004,102.2655
18,Trelew,AR,clear sky,37.89,58,0,10.18,-43.249,-65.3051
19,Beloha,MG,clear sky,63.91,83,0,3.13,-25.1667,45.05
20,Punta Arenas,CL,light rain,39.31,93,100,23.02,-53.15,-70.9167
21,Petropavlovsk-Kamchatskiy,RU,clear sky,68.59,68,0,15.66,53.0452,158.6483
22,Georgetown,MY,scattered clouds,86.9,79,40,2.3,5.4112,100.3354
23,Faanui,PF,clear sky,78.46,70,4,7.52,-16.4833,-151.75
24,Ivanivka,UA,clear sky,71.11,42,0,5.32,46.7208,34.553
25,Iqaluit,CA,light rain,53.33,81,100,3.44,63.7506,-68.5145
26,Geraldton,AU,overcast clouds,73.81,46,96,13.8,-28.7667,114.6
27,Canchungo,GW,light rain,78.93,90,69,4.83,12.0672,-16.0333
28,Vabalninkas,LT,clear sky,57.22,90,10,6.58,55.9667,24.75
