City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-05-26 02:27:02,-33.9258,18.4232,61.12,97,100,3.44
1,Ust-Ilimsk,RU,2022-05-26 02:27:02,58.0006,102.6619,50.27,87,100,9.31
2,Darhan,MN,2022-05-26 02:27:04,49.4867,105.9228,71.85,24,95,11.77
3,Luwuk,ID,2022-05-26 02:27:04,-0.9516,122.7875,85.62,71,95,4.23
4,Mar Del Plata,AR,2022-05-26 02:27:05,-38.0023,-57.5575,46.94,68,40,5.01
5,Punta Arenas,CL,2022-05-26 02:27:05,-53.15,-70.9167,41.11,81,20,33.38
6,Carnarvon,AU,2022-05-26 02:27:05,-24.8667,113.6333,73.54,43,100,3.94
7,Tuktoyaktuk,CA,2022-05-26 02:27:06,69.4541,-133.0374,42.8,65,75,3.44
8,New Norfolk,AU,2022-05-26 02:27:06,-42.7826,147.0587,58.91,80,100,1.01
9,Yellowknife,CA,2022-05-26 02:23:57,62.456,-114.3525,57.72,28,20,8.05
10,Mikkeli,FI,2022-05-26 02:27:07,61.6886,27.2723,50.11,66,0,6.91
11,Xining,CN,2022-05-26 02:24:17,36.6167,101.7667,59.49,60,100,2.17
12,Jalu,LY,2022-05-26 02:27:07,29.0331,21.5482,81.1,12,0,6.33
13,Bucerias,MX,2022-05-26 02:27:07,20.75,-105.3333,79.99,78,0,10.36
14,Saint George,US,2022-05-26 02:27:08,37.1041,-113.5841,93.79,10,0,4.61
15,Faya,SA,2022-05-26 02:27:08,18.3851,42.4509,68.11,31,22,3.24
16,Bouar,CF,2022-05-26 02:27:09,5.934,15.596,63.52,96,11,1.68
17,Sao Filipe,CV,2022-05-26 02:27:09,14.8961,-24.4956,71.46,80,2,7.2
18,Dikson,RU,2022-05-26 02:27:09,73.5069,80.5464,23.99,92,97,3.71
19,Leningradskiy,RU,2022-05-26 02:27:10,69.3833,178.4167,43.0,76,82,9.13
20,Rikitea,PF,2022-05-26 02:27:10,-23.1203,-134.9692,75.15,75,5,4.65
